description_id,propertyType,bathrooms,bedrooms,yearBuilt,squareFootage,lotSize
1,Single Family,1.0,0.0,1961,862.0,3485.0
2,Single Family,1.0,3.0,1958,1500.0,7405.0
3,Single Family,4.0,2.0,1948,2570.0,3584.0
4,Single Family,3.0,4.0,2003,2478.0,34412.0
5,Single Family,2.0,3.0,2019,1412.0,10086.0
6,Single Family,2.0,3.0,2002,2254.0,5605.0
7,Single Family,2.0,3.0,1997,2639.0,13939.0
8,Single Family,0.0,0.0,1930,2488.0,3999.0
9,Unknown,0.0,0.0,0,0.0,0.0
10,Single Family,3.5,4.0,2007,3165.0,10019.0
11,Condo,1.0,2.0,1985,1040.0,0.0
12,Apartment,2.0,2.0,0,0.0,0.0
13,Single Family,2.0,4.0,1930,2368.0,7812.0
14,Single Family,1.0,0.0,1955,896.0,1632.0
15,Condo,1.0,1.0,1975,0.0,0.0
16,Manufactured,2.0,3.0,1989,1064.0,7187.0
17,Single Family,2.0,3.0,1960,1056.0,13500.0
18,Single Family,2.0,3.0,1987,2245.0,7021.0
19,Single Family,1.0,3.0,1957,1693.0,10019.0
20,Single Family,1.0,0.0,1958,960.0,6534.0
21,Single Family,0.0,0.0,2021,2198.0,10019.0
22,Single Family,1.0,2.0,1984,1080.0,2424.0
23,Single Family,2.0,4.0,0,1960.0,0.0
24,Land,0.0,0.0,0,0.0,3853.0
25,Single Family,2.0,4.0,1896,0.0,10202.0
26,Multi-Family,1.0,2.0,1972,1925.0,6752.0
27,Single Family,2.0,3.0,1999,1749.0,0.0
28,Single Family,1.5,3.0,2014,1925.0,2038.0
29,Single Family,2.5,3.0,1968,1691.0,10402.0
30,Single Family,2.0,3.0,1976,1144.0,9197.0
31,Single Family,1.0,3.0,1952,826.0,20880.0
32,Single Family,2.0,2.0,2004,1328.0,3744.0
33,Condo,2.0,2.0,1981,1317.0,6908.0
34,Single Family,1.0,3.0,2017,2081.0,7667.0
35,Condo,1.0,1.0,1986,724.0,45739.0
36,Single Family,1.0,4.0,1903,1838.0,4518.0
37,Single Family,3.0,5.0,2016,2422.0,7841.0
38,Single Family,2.0,5.0,1955,921.0,10019.0
39,Condo,1.0,0.0,1942,1216.0,4140.0
40,Single Family,1.5,3.0,1960,1026.0,6688.0
41,Single Family,2.5,4.0,2018,1955.0,16553.0
42,Condo,1.5,2.0,1990,1194.0,0.0
43,Land,1.0,2.0,1930,779.0,20038.0
44,Single Family,6.0,5.0,2004,7280.0,43030.0
45,Condo,2.0,2.0,1980,1196.0,43560.0
46,Single Family,2.0,0.0,1987,2316.0,0.0
47,Single Family,2.5,4.0,1993,2428.0,7231.0
48,Condo,2.0,2.0,1984,1022.0,1046.0
49,Single Family,4.0,5.0,1998,3221.0,13877.0
50,Single Family,1.0,2.0,1910,1378.0,7492.0
51,Single Family,3.0,4.0,1992,2624.0,14375.0
52,Single Family,1.0,2.0,1986,924.0,2239.0
53,Single Family,3.0,5.0,1973,2056.0,20038.0
54,Manufactured,0.0,3.0,1984,1260.0,43560.0
55,Single Family,1.0,0.0,1885,937.0,3145.0
56,Single Family,1.0,3.0,1948,1552.0,7187.0
57,Single Family,1.5,0.0,1962,1497.0,9371.0
58,Single Family,2.5,3.0,1967,3264.0,44867.0
59,Single Family,2.5,4.0,2021,2320.0,5663.0
60,Condo,1.0,1.0,1973,773.0,0.0
61,Single Family,2.5,3.0,1990,1665.0,7345.0
62,Land,0.0,0.0,0,0.0,10019.0
63,Single Family,2.0,2.0,2012,1702.0,7405.0
64,Condo,1.0,1.0,1987,680.0,393308.0
65,Single Family,2.0,3.0,1973,1400.0,23086.0
66,Single Family,3.5,5.0,2007,3654.0,6999.0
